_id;bookings_id;passenger_id;passenger_name;contact_data
5432000987;06B046;8149 604011;VALERIY TIKHONOV;"{""phone"": ""+70127117011""}"
5432000988;06B046;8499 420203;EVGENIYA ALEKSEEVA;"{""phone"": ""+70378089255""}"
5432000989;E170C3;1011 752484;ARTUR GERASIMOV;"{""phone"": ""+70760429203""}"
5432000990;E170C3;4849 400049;ALINA VOLKOVA;"{""email"": ""volkova.alina_03101973@postgrespro.ru"", ""phone"": ""+70582584031""}"
5432000991;F313DD;6615 976589;MAKSIM ZHUKOV;"{""email"": ""m-zhukov061972@postgrespro.ru"", ""phone"": ""+70149562185""}"
5432000992;F313DD;2021 652719;NIKOLAY EGOROV;"{""phone"": ""+70791452932""}"
5432000993;F313DD;0817 363231;TATYANA KUZNECOVA;"{""email"": ""kuznecova-t-011961@postgrespro.ru"", ""phone"": ""+70400736223""}"
5432000994;CCC5CB;2883 989356;IRINA ANTONOVA;"{""email"": ""antonova.irina04121972@postgrespro.ru"", ""phone"": ""+70844502960""}"
5432000995;CCC5CB;3097 995546;VALENTINA KUZNECOVA;"{""email"": ""kuznecova.valentina10101976@postgrespro.ru"", ""phone"": ""+70268080457""}"
5432000996;1FB1E4;6866 920231;POLINA ZHURAVLEVA;"{""phone"": ""+70639918455""}"
5432000997;DE3EA6;6030 369450;ALEKSANDR TIKHONOV;"{""phone"": ""+70568350272""}"
5432000998;4B75D1;8675 588663;ILYA POPOV;"{""email"": ""popov_ilya.1971@postgrespro.ru"", ""phone"": ""+70003638926""}"
5432000999;9E60AA;0764 728785;ALEKSANDR KUZNECOV;"{""phone"": ""+70892601069""}"
5432001000;69DAD1;8954 972101;VSEVOLOD BORISOV;"{""email"": ""borisov_v_1975@postgrespro.ru"", ""phone"": ""+70126208679""}"
5432001001;69DAD1;6772 748756;NATALYA ROMANOVA;"{""email"": ""n-romanova.1981@postgrespro.ru"", ""phone"": ""+70898580864""}"
5432001002;69DAD1;7364 216524;ANTON BONDARENKO;"{""phone"": ""+70322899756""}"
5432001003;08A2A5;3635 182357;VALENTINA NIKITINA;"{""email"": ""nikitinavalentina.1975@postgrespro.ru"", ""phone"": ""+70794132478""}"
5432001004;08A2A5;8252 507584;ALLA TARASOVA;"{""phone"": ""+70212106431""}"
5432001005;C2CAB7;1026 982766;OKSANA MOROZOVA;"{""phone"": ""+70806484401""}"
5432001006;C6DA66;7107 950192;GENNADIY GERASIMOV;"{""email"": ""gerasimov.g111981@postgrespro.ru"", ""phone"": ""+70733090498""}"
5432001007;C6DA66;4765 014996;RAISA KONOVALOVA;"{""phone"": ""+70038510644""}"
5432001008;3EFFCA;3342 145536;VIKTOR IVANOV;"{""email"": ""ivanovviktor1976@postgrespro.ru"", ""phone"": ""+70467287014""}"
5432001009;7E0F14;0001 745349;OKSANA KOROLEVA;"{""email"": ""okoroleva1963@postgrespro.ru"", ""phone"": ""+70512056517""}"
5432001010;63126E;7273 175330;NIKOLAY IVANOV;"{""email"": ""ivanovn1963@postgrespro.ru"", ""phone"": ""+70841199867""}"
5432001011;285BC5;1370 120631;DENIS KUZNECOV;"{""email"": ""kuznecov-d.1978@postgrespro.ru"", ""phone"": ""+70127715737""}"
5432001012;232788;5559 553314;ALEKSANDR DENISOV;"{""email"": ""adenisov1964@postgrespro.ru"", ""phone"": ""+70827988994""}"
5432001013;EE82FC;6544 483657;NATALYA BELOVA;"{""email"": ""natalyabelova.1970@postgrespro.ru"", ""phone"": ""+70969066252""}"
5432001014;C3B60B;7011 596158;YURIY MEDVEDEV;"{""phone"": ""+70620336121""}"
